一、基础标识
十一、子弹与受击效果
字段名,含义
BulletFlyingId,子弹飞行效果ID
BulletFlyingId_Breakthrough,突破模式子弹飞行效果ID
AttackerValueId,攻击者数值ID
bHitRequestCheckOnClient,客户端是否检查命中请求
HitRequestCheckRadius,命中请求检查半径
HitRequestCheckRadiusForVehicle,载具命中请求检查半径
ExtraAttackerValueId,额外攻击者数值ID数组

十二、移动与晃动
字段名,含义
SprintToFireSpeed,奔跑转开火速度
SuperSprintToFireSpeed,超级奔跑转开火速度
ReturnSprintInterval,返回奔跑状态间隔
MovementSpeedID,移动速度配置ID
BattlefieldMovementSpeedID,战场模式移动速度ID
ChangeSpeedScaleWhenHit,受击时速度缩放比例
CameraSwayHitScale,受击时镜头晃动缩放
GunSwayHitScale,受击时枪械晃动缩放
CameraSwayBeHitScale,被击中时镜头晃动缩放
GunSwayBeHitScale,被击中时枪械晃动缩放
GunSwayBeHitScale_Mobile,移动端被击中时枪械晃动缩放
AimingIdleScale,瞄准闲置晃动缩放
AimingIdleScale_Mobile,移动端瞄准闲置晃动缩放
MiniShakeScale,微小抖动缩放
BeHitCameraMoveId,被击中镜头移动ID
BeHitCameraMoveScale,被击中镜头移动缩放
BeHitWeaponShakeScale,被击中武器抖动缩放

十三、压制系统
字段名,含义
SingleSuppressValue,单发压制值
ToggleSuppressValueMax,切换压制最大值

十四、特长与界面显示
字段名,含义
CanEquipPerk,能否装备特长
PerkCost,特长消耗点数
ViewId,视角配置ID
DisplayAttrValues,界面显示的属性值数组
bIndependentMainAttributeCurve,是否独立主属性曲线
BaseMainAttributeValues,基础主属性值数组

十五、其他
字段名,含义
ShotDistance,射击距离（最大射程）
CheckVehicleLeanState,是否检查载具侧身状态
FireInVehicleShouldLeanout,载具内开火是否应探身
FireInVehicleLeanoutCheckType,载具内开火探身检查类型
DeltaTime2TriggerChanceScale,时间差触发概率缩放
CdTime,冷却时间
RandomFailAddChance,随机失败增加概率
RescueTimeIncrement,救援时间增量
RescueDeathTimeIncrement,救援死亡时间增量
CBowId,弩相关ID
